file,,name,include,copyright,copyrightLink,category,disputed,territory,all,,style,canton,star,emblemFlag,red white blue,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,coldWar
94153699.svg,,Afghanistan,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,triband,,,emblemFlag,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
94916462.svg,,Albania,,,none,europe,europeDisputed,europeTerritories,europeAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
41682464.svg,,Algeria,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
10408687.svg,,Andorra,,,none,europe,europeDisputed,europeTerritories,europeAll,,triband,,,emblemFlag,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
26158521.svg,,Angola,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
61144836.svg,,Antigua and Barbuda,,,none,na,,naTerritories,naAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
90314011.svg,,Argentina,,,none,sa,,saTerritories,saAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
48228396.svg,,Armenia,,,none,europe,europeDisputed,europeTerritories,europeAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
56512433.svg,,Australia,,,none,oceania,,oceaniaTerritories,oceaniaAll,,unionJack,canton,star,,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
57820474.svg,,Austria,,,none,europe,europeDisputed,europeTerritories,europeAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
37879812.svg,,Azerbaijan,,,none,europe,europeDisputed,europeTerritories,europeAll,,triband,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
91588648.svg,,Bahamas,,,none,na,,naTerritories,naAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
13054285.svg,,Bahrain,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
35961838.svg,,Bangladesh,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
96720674.svg,,Barbados,,,none,na,,naTerritories,naAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
74350796.svg,,Belarus,,,none,europe,europeDisputed,europeTerritories,europeAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
93135378.svg,,Belgium,,,none,europe,europeDisputed,europeTerritories,europeAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,coldWar
27468065.svg,,Belize,,,none,sa,,saTerritories,saAll,,,,,emblemFlag,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
22587304.svg,,Benin,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
37766872.svg,,Bhutan,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
22758213.svg,,Bolivia,,,none,sa,,saTerritories,saAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
86361368.svg,,Bosnia and Herzegovina,,,none,europe,europeDisputed,europeTerritories,europeAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
50758687.svg,,Botswana,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
12359611.svg,,Brazil,,,none,sa,,saTerritories,saAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
72054531.svg,,Brunei,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,,,,emblemFlag,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
17371155.svg,,Bulgaria,,,none,europe,europeDisputed,europeTerritories,europeAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
97981468.svg,,Burkina Faso,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
59720441.svg,,Burundi,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
63886481.svg,,Cambodia,,,none,asia,asiaDisputed,asiaTerritories,asiaAll,,triband,,,,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
80471314.svg,,Cameroon,,,none,africa,africaDisputed,africaTerritories,africaAll,,triband,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
13619190.svg,,Canada,,,none,na,,naTerritories,naAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,coldWar
33197665.svg,,Cape Verde,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
62551409.svg,,Central African Republic,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
85432289.svg,,Chad,,,none,africa,africaDisputed,africaTerritories,africaAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
67224198.svg,,Chile,,,none,sa,,saTerritories,saAll,,,canton,star,,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
53793269.svg,,Colombia,,,none,sa,,saTerritories,saAll,,triband,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
17327733.svg,,Comoros,,,none,africa,africaDisputed,africaTerritories,africaAll,,,,star,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
46979188.svg,,Costa Rica,,,none,na,,naTerritories,naAll,,,,,,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
95637680.svg,,Croatia,,,none,europe,europeDisputed,europeTerritories,europeAll,,triband,,star,emblemFlag,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
99412951.svg,,Cuba,,,none,na,,naTerritories,naAll,,,,star,,rwb,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,coldWar
13229736.svg,,Cyprus,,,none,europe,europeDisputed,europeTerritories,europeAll,,,,,,,world,worldDisputed,worldTerritories,worldAll,,allFiles,allFlags,
